název,popis
PIAN,PIAN ID
Přesnost,míra prostorové odchylky
PIAN – typ,[bod/linie/polygon]
Dokumentační jednotka,ID dokumentační jednotky
Typ dokumentační jednotky,[sonda/část akce/celek akce/katastrální území]
Definiční bod(y) (WGS-84),centroid prvku v souřadnicovém systému WGS-84
Lokalita,ID lokality
Odkaz do Digitálního archivu AMČR,odkaz na záznam lokality v Digiarchivu
Okres,okres
Katastr,hlavní katastr
Další katastry,"další katastry, zasahuje-li akce mimo hlavní katastr"
nazev_lokality,název lokality
popis_lokality,popis lokality
typ_lokality,klasifikace lokalit podle metody jejich vymezení [polygon průzkumu/nemovitá památka/krajina]
druh_lokality,klasifikace lokalit podle povahy identifikovaných terénních reliktů [polygon leteckého průzkumu/krajina/pozůstatek výroby/...]
zachovalost,stav dochování lokality [zaniklá lokalita/ruina/nadzemní relikty/...]
Přístupnost,přístupnost záznamu [A/B/C/D]
